Kode,Kode2,Batuan,Plagioklas,opak ,Piroksen,olivin ,gelas ,Kalsit ,Hornblenda,Klorit,Mineral.Lempung ,Kuarsa ,Fragmen.batuan ,K.Feldspar,Porositas ,Nephelin ,Tuff,Pseudomorf ,Xenolith,Oksida.besi ,Foraminifera ,Ganggang 
LAM22,G.A.LAMONGAN,Basalt,43,16,,10,8,,,,,,,,,10,,,5,,,
LA5M,G.A.LAMONGAN,Basalt,40,12,14,22,6,,,,,,,,,,,,,,,
LA20,G.A.LAMONGAN,Basalt,50,16,6,16,12,,,,,,,,,,,,,,,
LAM34,G.A.LAMONGAN,Basalt,60,14,4,14,8,,,,,,,,,,,,,,,
L5B,G.A.LAMONGAN,Basalt,58,8,12,15,7,,,,,,,,,,,,,,,
LA5A,G.A.LAMONGAN,Basalt,54,14,2,10,8,,,,,,,,,12,,,,,,
LAM27,G.A.LAMONGAN,Basalt,70,4,6,10,10,,,,,,,,,,,,,,,
LAM23,G.A.LAMONGAN,Basalt,64,14,5,10,7,,,,,,,,,,,,,,,
LAM19,G.A.LAMONGAN,Basalt,74,5,14,5,2,,,,,,,,,,,,,,,
LAM15,G.A.LAMONGAN,Basalt,65,8,4,13,10,,,,,,,,,,,,,,,
LAM14,G.A.LAMONGAN,Basalt,58,14,2,16,10,,,,,,,,,,,,,,,
LA3P,G.A.LAMONGAN,Basalt,30,35,3,12,20,,,,,,,,,,,,,,,
LAM33,G.A.LAMONGAN,Basalt,60,15,5,10,10,,,,,,,,,,,,,,,
LA5P,G.A.LAMONGAN,Basalt,75,5,10,10,,,,,,,,,,,,,,,,
LA4P,G.A.LAMONGAN,Basalt,65,13,7,10,5,,,,,,,,,,,,,,,
LA4B,G.A.LAMONGAN,Basalt,51,6,18,5,20,,,,,,,,,,,,,,,
LA3R,G.A.LAMONGAN,Basalt,60,13,8,14,5,,,,,,,,,,,,,,,
LA2Y,G.A.LAMONGAN,Basalt,63,13,10,6,8,,,,,,,,,,,,,,,
LA2W,G.A.LAMONGAN,Basalt,65,20,4,3,8,,,,,,,,,,,,,,,
LA2M,G.A.LAMONGAN,Basalt,75,17,,3,5,,,,,,,,,,,,,,,
LAM21,G.A.LAMONGAN,Basalt,60,12,12,6,10,,,,,,,,,,,,,,,
